CÓD. INTERNO,PRODUTO,CÓD. DE BARRAS,NCM,PRODUTO,UTL,FYEL,TAMANHO,EMBALAGEM,PESO COM EMBALAGEM gm,CUSTO,VENDA SHOPEE LOJA UTL,VALOR QUE SOBRA APÓS COMISSÃO E TAXAS SHOPEE – IMPOSTO,VALOR LUCRO – IMPOSTO 6%,IMPOSTO,MARGEM EM %,FERNANDO PET MERCADO LIVRE
CÓD. 0057,,7897175620057,5206.32.00,PEITORAL GATO SEDA/NYLON 10MM LUXO G,,,G,UNITÁRIO,60gm,R$ 4.77,R$ 24.49,R$ 14.12,R$ 9.35,R$ 1.47,196%,R$ 26.94
-4,,,,,,,,,,,,,,,,
CÓD. 0096,,7897175610096,5206.32.00,PEITORAL GATO SEDA 10MM P,,,P,UNITÁRIO,50gm,R$ 3.72,R$ 15.92,R$ 7.78,R$ 4.06,R$ 0.96,109%,R$ 17.51
CÓD. 0097,,7897175600097,5206.32.00,PEITORAL GATO SEDA 10MM M,,,M,UNITÁRIO,52gm,R$ 3.79,R$ 47.90,R$ 31.45,R$ 27.66,R$ 2.87,730%,R$ 52.69
CÓD. 0056,,7897175630056,5206.32.00,PEITORAL GATO SEDA 10MM G,,,G,UNITÁRIO,54gm,R$ 3.91,R$ 16.90,R$ 8.51,R$ 4.60,R$ 1.01,118%,R$ 18.59
-4,,,,,,,,,,,,,,,,
CÓD.0273,,7897175440273,5206.32.00,PEITORAL GATO NYLON SIMPLES 10MM P,,,P,UNITÁRIO,47gm,R$ 3.08,R$ 39.90,R$ 25.53,R$ 22.45,R$ 2.39,729%,R$ 43.89
CÓD.0262,,7897175620262,5206.32.00,PEITORAL GATO NYLON SIMPLES 10MM M,,,M,UNITÁRIO,49gm,R$ 3.12,R$ 24.90,R$ 14.43,R$ 11.31,R$ 1.49,362%,R$ 27.39
CÓD. 0120,,7897175670120,5206.32.00,PEITORAL GATO NYLON SIMPLES 10MM G,,,G,UNITÁRIO,51gm,R$ 3.18,R$ 14.93,R$ 7.05,R$ 3.87,R$ 0.90,122%,R$ 16.42
BRINQUEDO PARA GATO,,,,,,,,,,,,,,,,
CÓD. 0186,,7897175630186,5206.32.00,BOLINHA PULA PULA MACIÇA COM PENA (Unitário),,OK,,KIT 5 UNIDADES,335gm,R$ 3.75,R$ 19.92,R$ 10.74,R$ 6.99,R$ 1.20,186%,R$ 9.90
-4,,,,,,,,,,,,,,,,
CÓD. 0193,,7897175070193,5206.32.00,BOLINHA PULA PULA MACIÇA COM PENA CARTELA C/12 UNID.,,,,CARTELA C/12,155gm,R$ 9.05,R$ 29.90,R$ 18.13,R$ 9.08,R$ 1.79,100%,R$ 32.89
-4,,,,,,,,,,,,,,,,
,,,5206.32.00,"PLAQUINHA DE IDENTIFICAÇÃO OSSO, CORAÇÃO, OVAL, CARA DE GATO, EXERCITO (Unitário)",,,,KIT C/ 10 PÇS,,R$ 3.20,R$ 19.90,R$ 10.73,R$ 7.53,R$ 1.19,235%,R$ 21.89
- 4.00 ,,,,,,,,,,,,,,,,
,,,2832.30.20,ANTI CLORO INSTANTÂNIO PARA AQUÁRIO 20ML KIT C/5,OK,OK,,KIT C/5,,R$ 10.50,R$ 27.92,R$ 16.66,R$ 6.16,R$ 1.68,59%,R$ 30.71
,,,2832.30.20,ANTI CLORO INSTANTÂNIO PARA AQUÁRIO 20ML (Kit com 10 Unidades),OK,OK,,KIT C/ 10 PÇS,,R$ 21.00,R$ 39.90,R$ 25.53,R$ 4.53,R$ 2.39,22%,
,,,2832.30.20,ANTI CLORO INSTANTÂNIO PARA AQUÁRIO 20ML (Kit com 20 Unidades),OK,OK,,KIT C/ 20 PÇS,,R$ 42.00,R$ 69.90,R$ 47.73,R$ 5.73,R$ 4.19,14%,R$ 89.90
,,,2832.30.20,ANTI CLORO INSTANTÂNIO PARA AQUÁRIO 20ML (Kit com 30 Unidades),OK,OK,,KIT C/ 30 PÇS,,R$ 63.00,R$ 99.90,R$ 69.93,R$ 6.93,R$ 5.99,11%,
,,,2832.30.20,ANTI CLORO INSTANTÂNIO PARA AQUÁRIO 1litro,OK,OK,,UNITÁRIO GALÃO,,R$ 15.00,R$ 32.80,R$ 20.27,R$ 5.27,R$ 1.97,35%,
COLEIRA SEDA LUXO AJUSTÁVEL (COM BORRACHINHA DE ACABAMENTO),,,,,,,,,,,,,,,,
CÓD. 0318,,7897175600318,5206.32.00,COLEIRA SEDA 15MM N°1 23CM Á 35CM LUXO BORRACHINHA,,,1,CARTELA C/10,163gm,R$ 9.80,R$ 29.90,R$ 18.13,R$ 8.33,R$ 1.79,85%,R$ 32.89
-4,,,,,,,,,,,,,,,,
CÓD. 0092,,7897175650092,5206.32.00,KIT COLEIRA + GUIA SEDA 15MM LUXO P ,,,P,UNITÁRIO,60gm,R$ 4.27,R$ 24.90,R$ 14.43,R$ 10.16,R$ 1.49,238%,R$ 27.39
CÓD. 0114,,7897175660114,5206.32.00,KIT COLEIRA + GUIA SEDA 20MM LUXO M,,,M,UNITÁRIO,82gm,R$ 6.64,R$ 29.90,R$ 18.13,R$ 11.49,R$ 1.79,173%,R$ 32.89
CÓD. 0133,,7897175610133,5206.32.00,KIT COLEIRA + GUIA SEDA 25MM LUXO G,,,G,UNITÁRIO,120gm,R$ 6.49,R$ 34.90,R$ 21.83,R$ 15.34,R$ 2.09,236%,R$ 38.39
-4,,,,,,,,,,,,,,,,
CÓD.0264,,7897175600264,5206.32.00,COLEIRA SEDA 15MM 23CM Á 35M LUXO BORRACHINHA P,,,P,UNITÁRIO,26gm,R$ 1.17,R$ 16.90,R$ 8.51,R$ 7.34,R$ 1.01,627%,R$ 18.59
CÓD. 0305,,7897175660305,5206.32.00,COLEIRA SEDA 20MM 30CM Á 50CM LUXO BORRACHINHA M,,,M,UNITÁRIO,37gm,R$ 1.57,R$ 19.90,R$ 10.73,R$ 9.16,R$ 1.19,583%,R$ 21.89
CÓD. 0306,,7897175650306,5206.32.00,COLEIRA SEDA 25MM 35CM Á 60CM LUXO BORRACHINHA G,,,G,UNITÁRIO,57gm,R$ 2.24,R$ 24.90,R$ 14.43,R$ 12.19,R$ 1.49,544%,R$ 27.39
CONJUNTO GUIA E PEITORAL AMERICANA LUXO,,,,,,,,,,,,,,,,
CÓD. 0298,,7897175670298,5206.32.00,PEITORAL AMERICANA P SEDA 15MM LUXO C/ GUIA 1MT,,,P,UNITÁRIO,84gm,R$ 5.01,R$ 29.90,R$ 18.13,R$ 13.12,R$ 1.79,262%,R$ 32.89
CÓD. 0299,,7897175660299,5206.32.00,PEITORAL AMERICANA M SEDA 20MM LUXO C/ GUIA 1MT,,,M,UNITÁRIO,130gm,R$ 6.80,R$ 35.90,R$ 22.57,R$ 15.77,R$ 2.15,232%,R$ 39.49
